Sector,Year,FDI(IN  Crores),FDI (IN US$ Million)
PAPER AND PULP (INCLUDING PAPER PRODUCTS),2007,125.77,31.24
SUGAR,2007,40.54,10.07
FERMENTATION INDUSTRIES,2007,1087.22,270.05
FOOD PROCESSING INDUSTRIES,2007,282.5,70.17
VEGETABLE OILS AND VANASPATI,2007,6.16,1.53
"SOAPS, COSMETICS & TOILET PREPARATIONS",2007,25.69,6.38
RUBBER GOODS,2007,60.87,15.12
"LEATHER,LEATHER GOODS AND PICKERS",2007,30.03,7.46
GLUE AND GELATIN,2007,9.18,2.28
GLASS,2007,44.45,11.04
CERAMICS,2007,463.43,115.11
CEMENT AND GYPSUM PRODUCTS,2007,68,16.89
TIMBER PRODUCTS,2007,1.57,0.39
DEFENCE INDUSTRIES,2007,0,0
CONSULTANCY SERVICES,2007,939.35,233.32
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2007,28126.32,6986.17
HOSPITAL & DIAGNOSTIC CENTRES,2007,973.33,241.76
EDUCATION,2007,175.49,43.59
HOTEL & TOURISM,2007,1696.84,421.47
TRADING,2007,1389.05,345.02
RETAIL TRADING,2007,5.11,1.27
AGRICULTURE SERVICES,2007,234.03,58.13
"DIAMOND,GOLD ORNAMENTS",2007,238.14,59.15
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2007,76.25,18.94
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2007,143.08,35.54
COIR,2007,0.04,0.01
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2007,736.44,182.92
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2007,15650.39,3887.33
MISCELLANEOUS INDUSTRIES,2007,2127.42,528.42
METALLURGICAL INDUSTRIES,2008,4414.76,959.94
MINING,2008,157.1,34.16
POWER,2008,4174.33,907.66
NON-CONVENTIONAL ENERGY,2008,578.92,125.88
COAL PRODUCTION,2008,1.01,0.22
PETROLEUM & NATURAL GAS,2008,1606.38,349.29
BOILERS AND STEAM GENERATING PLANTS,2008,0,0
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2008,344.37,74.88
ELECTRICAL EQUIPMENTS,2008,1919.39,417.35
COMPUTER SOFTWARE & HARDWARE,2008,7097.82,1543.34
ELECTRONICS,2008,678.4,147.51
TELECOMMUNICATIONS,2008,11721.15,2548.63
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2008,3380.45,735.04
AUTOMOBILE INDUSTRY,2008,5288.99,1150.03
AIR TRANSPORT (INCLUDING AIR FREIGHT),2008,282.24,61.37
SEA TRANSPORT,2008,230.92,50.21
PORTS,2008,2268,493.15
RAILWAY RELATED COMPONENTS,2008,82.83,18.01
INDUSTRIAL MACHINERY,2008,508.37,110.54
MACHINE TOOLS,2008,209.99,45.66
AGRICULTURAL MACHINERY,2008,25.62,5.57
EARTH-MOVING MACHINERY,2008,10.44,2.27
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2008,654.48,142.31
"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2008,58.09,12.63
MEDICAL AND SURGICAL APPLIANCES,2008,346.86,75.42
INDUSTRIAL INSTRUMENTS,2008,80.39,17.48
SCIENTIFIC INSTRUMENTS,2008,3.82,0.83
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2008,0,0
FERTILIZERS,2008,615.12,133.75
CHEMICALS (OTHER THAN FERTILIZERS),2008,2994.96,651.22
PHOTOGRAPHIC RAW FILM AND PAPER,2008,4.83,1.05
DYE-STUFFS,2008,5.38,1.17
DRUGS & PHARMACEUTICALS,2008,19530.85,4246.76
"TEXTILES (INCLUDING DYED,PRINTED)",2008,724.43,157.52
PAPER AND PULP (INCLUDING PAPER PRODUCTS),2008,1253.27,272.51
SUGAR,2008,23.04,5.01
FERMENTATION INDUSTRIES,2008,665.48,144.7
FOOD PROCESSING INDUSTRIES,2008,472.36,102.71
VEGETABLE OILS AND VANASPATI,2008,197.21,42.88
"SOAPS, COSMETICS & TOILET PREPARATIONS",2008,101.32,22.03
RUBBER GOODS,2008,390.36,84.88
"LEATHER,LEATHER GOODS AND PICKERS",2008,15.27,3.32
GLUE AND GELATIN,2008,0,0
GLASS,2008,106.51,23.16
CERAMICS,2008,912.58,198.43
CEMENT AND GYPSUM PRODUCTS,2008,3333.36,724.8
TIMBER PRODUCTS,2008,51.83,11.27
DEFENCE INDUSTRIES,2008,0,0
CONSULTANCY SERVICES,2008,1180.06,256.59
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2008,28437.87,6183.49
HOSPITAL & DIAGNOSTIC CENTRES,2008,1102.43,239.71
EDUCATION,2008,986.58,214.52
HOTEL & TOURISM,2008,2133.57,463.92
TRADING,2008,2960.1,643.64
RETAIL TRADING,2008,0.41,0.09
AGRICULTURE SERVICES,2008,24.6,5.35
"DIAMOND,GOLD ORNAMENTS",2008,384.02,83.5
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2008,170.53,37.08
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2008,145.37,31.61
COIR,2008,0,0
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2008,794.25,172.7
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2008,21419.89,4657.51
MISCELLANEOUS INDUSTRIES,2008,7127.07,1549.7
METALLURGICAL INDUSTRIES,2009,1991.91,419.88
MINING,2009,827.35,174.4
POWER,2009,6033.37,1271.79
NON-CONVENTIONAL ENERGY,2009,2953.23,622.52
COAL PRODUCTION,2009,0,0
PETROLEUM & NATURAL GAS,2009,1259.67,265.53
BOILERS AND STEAM GENERATING PLANTS,2009,18.79,3.96
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2009,187.39,39.5
ELECTRICAL EQUIPMENTS,2009,3454.91,728.27
COMPUTER SOFTWARE & HARDWARE,2009,4136.1,871.86
ELECTRONICS,2009,247.35,52.14
TELECOMMUNICATIONS,2009,12046.25,2539.26
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2009,2328.5,490.83
AUTOMOBILE INDUSTRY,2009,5864.96,1236.29
AIR TRANSPORT (INCLUDING AIR FREIGHT),2009,112.48,23.71
SEA TRANSPORT,2009,1351.33,284.85
PORTS,2009,310.31,65.41
RAILWAY RELATED COMPONENTS,2009,163.34,34.43
INDUSTRIAL MACHINERY,2009,1621.88,341.88
MACHINE TOOLS,2009,634.89,133.83
AGRICULTURAL MACHINERY,2009,8.92,1.88
EARTH-MOVING MACHINERY,2009,74.1,15.62
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2009,709.65,149.59
"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2009,374.68,78.98
MEDICAL AND SURGICAL APPLIANCES,2009,793.91,167.35
INDUSTRIAL INSTRUMENTS,2009,36.1,7.61
SCIENTIFIC INSTRUMENTS,2009,0,0
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2009,0,0
FERTILIZERS,2009,38.9,8.2
CHEMICALS (OTHER THAN FERTILIZERS),2009,1736.02,365.94
PHOTOGRAPHIC RAW FILM AND PAPER,2009,0,0
DYE-STUFFS,2009,19.07,4.02
DRUGS & PHARMACEUTICALS,2009,1010.85,213.08
"TEXTILES (INCLUDING DYED,PRINTED)",2009,712.88,150.27
PAPER AND PULP (INCLUDING PAPER PRODUCTS),2009,77.9,16.42
SUGAR,2009,0.47,0.1
FERMENTATION INDUSTRIES,2009,531.42,112.02
FOOD PROCESSING INDUSTRIES,2009,1323.05,278.89
VEGETABLE OILS AND VANASPATI,2009,330.85,69.74
"SOAPS, COSMETICS & TOILET PREPARATIONS",2009,116.61,24.58
RUBBER GOODS,2009,114.43,24.12
"LEATHER,LEATHER GOODS AND PICKERS",2009,24,5.06
GLUE AND GELATIN,2009,1.28,0.27
GLASS,2009,13.43,2.83
CERAMICS,2009,34.2,7.21
CEMENT AND GYPSUM PRODUCTS,2009,160.35,33.8
TIMBER PRODUCTS,2009,31.03,6.54
DEFENCE INDUSTRIES,2009,0,0
CONSULTANCY SERVICES,2009,1619.17,341.31
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2009,19803.97,4174.53
HOSPITAL & DIAGNOSTIC CENTRES,2009,643.14,135.57
EDUCATION,2009,300.53,63.35
HOTEL & TOURISM,2009,3572.33,753.02
TRADING,2009,3500.83,737.95
RETAIL TRADING,2009,65.14,13.73
AGRICULTURE SERVICES,2009,5798.21,1222.22
"DIAMOND,GOLD ORNAMENTS",2009,147.44,31.08
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2009,38.66,8.15
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2009,334.5,70.51
COIR,2009,1.19,0.25
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2009,1539.71,324.56
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2009,25931.32,5466.13
MISCELLANEOUS INDUSTRIES,2009,5444.02,1147.56
METALLURGICAL INDUSTRIES,2010,5003.13,1098.14
MINING,2010,362.25,79.51
POWER,2010,5794.18,1271.77
NON-CONVENTIONAL ENERGY,2010,976.81,214.4
COAL PRODUCTION,2010,0,0
PETROLEUM & NATURAL GAS,2010,2535.1,556.43
BOILERS AND STEAM GENERATING PLANTS,2010,2.87,0.63
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2010,758.3,166.44
ELECTRICAL EQUIPMENTS,2010,701.17,153.9
COMPUTER SOFTWARE & HARDWARE,2010,3552.81,779.81
ELECTRONICS,2010,272.08,59.72
TELECOMMUNICATIONS,2010,7583.46,1664.5
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2010,1877.57,412.11
AUTOMOBILE INDUSTRY,2010,5920.11,1299.41
AIR TRANSPORT (INCLUDING AIR FREIGHT),2010,622.35,136.6
SEA TRANSPORT,2010,1369.12,300.51
PORTS,2010,49.75,10.92
RAILWAY RELATED COMPONENTS,2010,321.93,70.66
INDUSTRIAL MACHINERY,2010,2131.84,467.92
MACHINE TOOLS,2010,52.99,11.63
AGRICULTURAL MACHINERY,2010,2.23,0.49
EARTH-MOVING MACHINERY,2010,8.06,1.77
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2010,495.1,108.67
"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2010,114.45,25.12
MEDICAL AND SURGICAL APPLIANCES,2010,146.79,32.22
INDUSTRIAL INSTRUMENTS,2010,116.09,25.48
SCIENTIFIC INSTRUMENTS,2010,11.34,2.49
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2010,0,0
FERTILIZERS,2010,82.83,18.18
CHEMICALS (OTHER THAN FERTILIZERS),2010,10726.65,2354.4
PHOTOGRAPHIC RAW FILM AND PAPER,2010,3.69,0.81
DYE-STUFFS,2010,24.47,5.37
DRUGS & PHARMACEUTICALS,2010,953.94,209.38
"TEXTILES (INCLUDING DYED,PRINTED)",2010,590.69,129.65
PAPER AND PULP (INCLUDING PAPER PRODUCTS),2010,29.75,6.53
SUGAR,2010,0.77,0.17
FERMENTATION INDUSTRIES,2010,262.93,57.71
FOOD PROCESSING INDUSTRIES,2010,859.58,188.67
VEGETABLE OILS AND VANASPATI,2010,264.57,58.07
"SOAPS, COSMETICS & TOILET PREPARATIONS",2010,468.81,102.9
RUBBER GOODS,2010,78.41,17.21
"LEATHER,LEATHER GOODS AND PICKERS",2010,42.19,9.26
GLUE AND GELATIN,2010,0.05,0.01
GLASS,2010,34.63,7.6
CERAMICS,2010,54.67,12
CEMENT AND GYPSUM PRODUCTS,2010,2905.27,637.68
TIMBER PRODUCTS,2010,7.2,1.58
DEFENCE INDUSTRIES,2010,0,0
CONSULTANCY SERVICES,2010,1252.17,274.84
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2010,15016.99,3296.09
HOSPITAL & DIAGNOSTIC CENTRES,2010,1166.34,256
EDUCATION,2010,172.85,37.94
HOTEL & TOURISM,2010,1403.48,308.05
TRADING,2010,2269.07,498.04
RETAIL TRADING,2010,119.69,26.27
AGRICULTURE SERVICES,2010,200.01,43.9
"DIAMOND,GOLD ORNAMENTS",2010,89.25,19.59
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2010,14.21,3.12
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2010,166.89,36.63
COIR,2010,0.46,0.1
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2010,3075.62,675.07
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2010,7576.76,1663.03
MISCELLANEOUS INDUSTRIES,2010,6724.52,1475.97
METALLURGICAL INDUSTRIES,2011,8559.18,1786.14
MINING,2011,683.58,142.65
POWER,2011,7918.2,1652.38
NON-CONVENTIONAL ENERGY,2011,2166.8,452.17
COAL PRODUCTION,2011,0,0
PETROLEUM & NATURAL GAS,2011,9727.66,2029.98
BOILERS AND STEAM GENERATING PLANTS,2011,152.34,31.79
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2011,1503.49,313.75
ELECTRICAL EQUIPMENTS,2011,2714.14,566.39
COMPUTER SOFTWARE & HARDWARE,2011,3816.11,796.35
ELECTRONICS,2011,931.61,194.41
TELECOMMUNICATIONS,2011,9570.77,1997.24
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2011,3239.2,675.96
AUTOMOBILE INDUSTRY,2011,4422.97,922.99
AIR TRANSPORT (INCLUDING AIR FREIGHT),2011,149.61,31.22
SEA TRANSPORT,2011,619.89,129.36
PORTS,2011,0,0
RAILWAY RELATED COMPONENTS,2011,202.56,42.27
INDUSTRIAL MACHINERY,2011,2974.2,620.66
MACHINE TOOLS,2011,612.75,127.87
AGRICULTURAL MACHINERY,2011,13.27,2.77
EARTH-MOVING MACHINERY,2011,78.59,16.4
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2011,6207.27,1295.34
"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2011,139.16,29.04
MEDICAL AND SURGICAL APPLIANCES,2011,678.6,141.61
INDUSTRIAL INSTRUMENTS,2011,19.12,3.99
SCIENTIFIC INSTRUMENTS,2011,33.93,7.08
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2011,0,0
FERTILIZERS,2011,156.22,32.6
CHEMICALS (OTHER THAN FERTILIZERS),2011,19363.08,4040.71
PHOTOGRAPHIC RAW FILM AND PAPER,2011,0,0
DYE-STUFFS,2011,2.78,0.58
DRUGS & PHARMACEUTICALS,2011,15489.09,3232.28
"TEXTILES (INCLUDING DYED,PRINTED)",2011,786.8,164.19
PAPER AND PULP (INCLUDING PAPER PRODUCTS),2011,1952.02,407.35
SUGAR,2011,21.28,4.44
FERMENTATION INDUSTRIES,2011,334,69.7
FOOD PROCESSING INDUSTRIES,2011,815.65,170.21
VEGETABLE OILS AND VANASPATI,2011,311.58,65.02
"SOAPS, COSMETICS & TOILET PREPARATIONS",2011,1064.21,222.08
RUBBER GOODS,2011,897.88,187.37
"LEATHER,LEATHER GOODS AND PICKERS",2011,39.77,8.3
GLUE AND GELATIN,2011,27.99,5.84
GLASS,2011,154.4,32.22
CERAMICS,2011,47.3,9.87
CEMENT AND GYPSUM PRODUCTS,2011,1283.78,267.9
TIMBER PRODUCTS,2011,141.84,29.6
DEFENCE INDUSTRIES,2011,17.54,3.66
CONSULTANCY SERVICES,2011,1389.15,289.89
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2011,24994.98,5215.98
HOSPITAL & DIAGNOSTIC CENTRES,2011,1487.58,310.43
EDUCATION,2011,506.13,105.62
HOTEL & TOURISM,2011,4757.79,992.86
TRADING,2011,3505.59,731.55
RETAIL TRADING,2011,151.91,31.7
AGRICULTURE SERVICES,2011,234.9,49.02
"DIAMOND,GOLD ORNAMENTS",2011,173.95,36.3
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2011,25.49,5.32
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2011,227.09,47.39
COIR,2011,2.64,0.55
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2011,1851.05,386.28
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2011,15050.62,3140.78
MISCELLANEOUS INDUSTRIES,2011,3897.72,813.38
METALLURGICAL INDUSTRIES,2012,7976.29,1466.23
MINING,2012,314.92,57.89
POWER,2012,2914.1,535.68
NON-CONVENTIONAL ENERGY,2012,6019.47,1106.52
COAL PRODUCTION,2012,0,0
PETROLEUM & NATURAL GAS,2012,1168.51,214.8
BOILERS AND STEAM GENERATING PLANTS,2012,109.07,20.05
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2012,1004.22,184.6
ELECTRICAL EQUIPMENTS,2012,1065.53,195.87
COMPUTER SOFTWARE & HARDWARE,2012,2643.62,485.96
ELECTRONICS,2012,208.03,38.24
TELECOMMUNICATIONS,2012,1653.05,303.87
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2012,2197.98,404.04
AUTOMOBILE INDUSTRY,2012,8362.8,1537.28
AIR TRANSPORT (INCLUDING AIR FREIGHT),2012,86.44,15.89
SEA TRANSPORT,2012,351.53,64.62
PORTS,2012,0,0
RAILWAY RELATED COMPONENTS,2012,162.38,29.85
INDUSTRIAL MACHINERY,2012,2740.84,503.83
MACHINE TOOLS,2012,551.56,101.39
AGRICULTURAL MACHINERY,2012,519.03,95.41
EARTH-MOVING MACHINERY,2012,27.74,5.1
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2012,486.61,89.45
"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2012,132.36,24.33
MEDICAL AND SURGICAL APPLIANCES,2012,451.63,83.02
INDUSTRIAL INSTRUMENTS,2012,3.16,0.58
SCIENTIFIC INSTRUMENTS,2012,398.64,73.28
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2012,36.5,6.71
FERTILIZERS,2012,231.47,42.55
CHEMICALS (OTHER THAN FERTILIZERS),2012,1589.35,292.16
PHOTOGRAPHIC RAW FILM AND PAPER,2012,0,0
DYE-STUFFS,2012,0,0
DRUGS & PHARMACEUTICALS,2012,6111.62,1123.46
"TEXTILES (INCLUDING DYED,PRINTED)",2012,565.16,103.89
PAPER AND PULP (INCLUDING PAPER PRODUCTS),2012,27.69,5.09
SUGAR,2012,66.69,12.26
FERMENTATION INDUSTRIES,2012,583.22,107.21
FOOD PROCESSING INDUSTRIES,2012,2183.94,401.46
VEGETABLE OILS AND VANASPATI,2012,589.64,108.39
"SOAPS, COSMETICS & TOILET PREPARATIONS",2012,870.78,160.07
RUBBER GOODS,2012,3493.46,642.18
"LEATHER,LEATHER GOODS AND PICKERS",2012,254.05,46.7
GLUE AND GELATIN,2012,0,0
GLASS,2012,1137.83,209.16
CERAMICS,2012,23.56,4.33
CEMENT AND GYPSUM PRODUCTS,2012,67.35,12.38
TIMBER PRODUCTS,2012,158.68,29.17
DEFENCE INDUSTRIES,2012,2.23,0.41
CONSULTANCY SERVICES,2012,774.22,142.32
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2012,26291.41,4832.98
HOSPITAL & DIAGNOSTIC CENTRES,2012,1397.32,256.86
EDUCATION,2012,936.77,172.2
HOTEL & TOURISM,2012,17729.23,3259.05
TRADING,2012,3904.83,717.8
RETAIL TRADING,2012,121.37,22.31
AGRICULTURE SERVICES,2012,878.4,161.47
"DIAMOND,GOLD ORNAMENTS",2012,286.2,52.61
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2012,1.47,0.27
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2012,78.01,14.34
COIR,2012,0.82,0.15
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2012,1544.36,283.89
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2012,7248.75,1332.49
MISCELLANEOUS INDUSTRIES,2012,1248.43,229.49
METALLURGICAL INDUSTRIES,2013,3434.16,567.63
MINING,2013,77.02,12.73
POWER,2013,6449.78,1066.08
NON-CONVENTIONAL ENERGY,2013,2506.21,414.25
COAL PRODUCTION,2013,17.91,2.96
PETROLEUM & NATURAL GAS,2013,678.99,112.23
BOILERS AND STEAM GENERATING PLANTS,2013,1.03,0.17
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2013,1287.32,212.78
ELECTRICAL EQUIPMENTS,2013,812.58,134.31
COMPUTER SOFTWARE & HARDWARE,2013,6813.93,1126.27
ELECTRONICS,2013,802.11,132.58
TELECOMMUNICATIONS,2013,7907.05,1306.95
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2013,2592.55,428.52
AUTOMOBILE INDUSTRY,2013,9179.54,1517.28
AIR TRANSPORT (INCLUDING AIR FREIGHT),2013,278,45.95
SEA TRANSPORT,2013,123.96,20.49
PORTS,2013,1.88,0.31
RAILWAY RELATED COMPONENTS,2013,1433.43,236.93
INDUSTRIAL MACHINERY,2013,2888.15,477.38
MACHINE TOOLS,2013,390.35,64.52
AGRICULTURAL MACHINERY,2013,295.12,48.78
EARTH-MOVING MACHINERY,2013,208.36,34.44
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2013,1743.19,288.13
"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2013,127.84,21.13
MEDICAL AND SURGICAL APPLIANCES,2013,1049.55,173.48
INDUSTRIAL INSTRUMENTS,2013,3.21,0.53
SCIENTIFIC INSTRUMENTS,2013,272.73,45.08
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2013,0,0
FERTILIZERS,2013,124.93,20.65
CHEMICALS (OTHER THAN FERTILIZERS),2013,4759.9,786.76
PHOTOGRAPHIC RAW FILM AND PAPER,2013,0,0
DYE-STUFFS,2013,0,0
DRUGS & PHARMACEUTICALS,2013,7740.01,1279.34
"TEXTILES (INCLUDING DYED,PRINTED)",2013,1203.1,198.86
PAPER AND PULP (INCLUDING PAPER PRODUCTS),2013,162.5,26.86
SUGAR,2013,18.63,3.08
FERMENTATION INDUSTRIES,2013,4928.21,814.58
FOOD PROCESSING INDUSTRIES,2013,24096.48,3982.89
VEGETABLE OILS AND VANASPATI,2013,130.38,21.55
"SOAPS, COSMETICS & TOILET PREPARATIONS",2013,656.06,108.44
RUBBER GOODS,2013,2241.77,370.54
"LEATHER,LEATHER GOODS AND PICKERS",2013,37.15,6.14
GLUE AND GELATIN,2013,5.87,0.97
GLASS,2013,260.69,43.09
CERAMICS,2013,908.04,150.09
CEMENT AND GYPSUM PRODUCTS,2013,1536.76,254.01
TIMBER PRODUCTS,2013,37.27,6.16
DEFENCE INDUSTRIES,2013,4.96,0.82
CONSULTANCY SERVICES,2013,1729.39,285.85
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2013,13461.86,2225.1
HOSPITAL & DIAGNOSTIC CENTRES,2013,4141.71,684.58
EDUCATION,2013,1585.64,262.09
HOTEL & TOURISM,2013,2942.6,486.38
TRADING,2013,8127.51,1343.39
RETAIL TRADING,2013,68.37,11.3
AGRICULTURE SERVICES,2013,550.61,91.01
"DIAMOND,GOLD ORNAMENTS",2013,257.49,42.56
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2013,35.45,5.86
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2013,688.37,113.78
COIR,2013,3.27,0.54
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2013,2936.49,485.37
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2013,7417.6,1226.05
MISCELLANEOUS INDUSTRIES,2013,2835.88,468.74
METALLURGICAL INDUSTRIES,2014,2197,359.34
MINING,2014,4184.36,684.39
POWER,2014,4322.84,707.04
NON-CONVENTIONAL ENERGY,2014,3765.92,615.95
COAL PRODUCTION,2014,0,0
PETROLEUM & NATURAL GAS,2014,6597.13,1079.02
BOILERS AND STEAM GENERATING PLANTS,2014,8.13,1.33
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2014,1410.5,230.7
ELECTRICAL EQUIPMENTS,2014,3514.51,574.83
COMPUTER SOFTWARE & HARDWARE,2014,14037.99,2296.04
ELECTRONICS,2014,592.08,96.84
TELECOMMUNICATIONS,2014,17699.66,2894.94
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2014,1558.83,254.96
AUTOMOBILE INDUSTRY,2014,16664.56,2725.64
AIR TRANSPORT (INCLUDING AIR FREIGHT),2014,455.86,74.56
SEA TRANSPORT,2014,2037.31,333.22
PORTS,2014,11.62,1.9
RAILWAY RELATED COMPONENTS,2014,793.17,129.73
INDUSTRIAL MACHINERY,2014,4382.45,716.79
MACHINE TOOLS,2014,147.1,24.06
AGRICULTURAL MACHINERY,2014,442.35,72.35
EARTH-MOVING MACHINERY,2014,184.09,30.11
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2014,1141.42,186.69
"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2014,204.15,33.39
MEDICAL AND SURGICAL APPLIANCES,2014,892.22,145.93
INDUSTRIAL INSTRUMENTS,2014,5.2,0.85
SCIENTIFIC INSTRUMENTS,2014,197.73,32.34
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2014,0,0
FERTILIZERS,2014,1377.61,225.32
CHEMICALS (OTHER THAN FERTILIZERS),2014,4663.51,762.76
PHOTOGRAPHIC RAW FILM AND PAPER,2014,4.59,0.75
DYE-STUFFS,2014,335.6,54.89
DRUGS & PHARMACEUTICALS,2014,9157.18,1497.74
"TEXTILES (INCLUDING DYED,PRINTED)",2014,1207.03,197.42
PAPER AND PULP (INCLUDING PAPER PRODUCTS),2014,710.51,116.21
SUGAR,2014,169.79,27.77
FERMENTATION INDUSTRIES,2014,1377.97,225.38
FOOD PROCESSING INDUSTRIES,2014,3153.97,515.86
VEGETABLE OILS AND VANASPATI,2014,906.95,148.34
"SOAPS, COSMETICS & TOILET PREPARATIONS",2014,1083.52,177.22
RUBBER GOODS,2014,1739.49,284.51
"LEATHER,LEATHER GOODS AND PICKERS",2014,209.16,34.21
GLUE AND GELATIN,2014,131.08,21.44
GLASS,2014,255.69,41.82
CERAMICS,2014,215.76,35.29
CEMENT AND GYPSUM PRODUCTS,2014,1277.76,208.99
TIMBER PRODUCTS,2014,54.84,8.97
DEFENCE INDUSTRIES,2014,0.49,0.08
CONSULTANCY SERVICES,2014,2801.01,458.13
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2014,27166.09,4443.26
HOSPITAL & DIAGNOSTIC CENTRES,2014,3471.83,567.85
EDUCATION,2014,482.15,78.86
HOTEL & TOURISM,2014,4750.64,777.01
TRADING,2014,16678.75,2727.96
RETAIL TRADING,2014,1031.55,168.72
AGRICULTURE SERVICES,2014,366.53,59.95
"DIAMOND,GOLD ORNAMENTS",2014,1713.02,280.18
